n,mse,a.mse,b.mse,mse.d,mse.t
2048,0.29298907709814753,0.01754930692056765,0.02359884296089267,0.3083755248704928,0.4750545535179021
2048,0.39219528881679,0.02008761694959443,0.02247951315283086,0.36694977057595385,0.4856708440361029
2048,0.26809683143225077,0.0298336148721544,0.02702397195393595,0.24243734295006245,0.3746589359145913
2048,0.1336445717867179,0.0137262745801458,0.02686133239421346,0.14813929046882132,0.26254273227243174
2048,0.2088655691527205,0.01888748255082516,0.02175452126856968,0.1966837805046661,0.2621127022348586
2048,0.321116918843712,0.02313920277616501,0.03066826672875526,0.2729219609562821,0.38936381022030103
2048,0.2618460783182854,0.0154096493339936,0.02028794744008334,0.27073803941117885,0.35386525084972537
2048,0.2487966394773441,0.01159995117694086,0.01649282779185286,0.2710466437542224,0.33691919569555656
2048,0.2303364868149678,0.02274141385849655,0.02683345059628453,0.2928013278671146,0.4092276239815343
2048,0.19013769556075216,0.02631255864039831,0.02527146950578096,0.18307220222747103,0.29192083043585193
2048,0.35363242262033934,0.023580992682769,0.0307149237256837,0.29869362282549844,0.32205521262759984
2048,0.440442748692844,0.02064925602537173,0.02607420670320296,0.4309261316313296,0.5196498498044464
2048,0.4372936225194464,0.02225931534633198,0.01879559835817267,0.34401925936318195,0.4365321897986791
2048,0.3744279882064651,0.01589275976578994,0.02290263895695799,0.35269390677073453,0.40515792292395103
2048,0.3021167930685535,0.01717149477340493,0.02429427051345517,0.2240913413902489,0.3938041391110116
2048,0.2740486573614064,0.0176111881167011,0.0218967364546403,0.27297491084521064,0.3973696365895509
2048,0.32642820943040907,0.02596243831837865,0.0217322368317847,0.23913022218189053,0.260845849237291
2048,0.20789497924736697,0.02721036556999642,0.02808619005330578,0.24640886064552095,0.3534249908954409
2048,0.2458664646351708,0.02047484886031853,0.02671086029876061,0.22421684392546745,0.29401010920922693
2048,0.375832012488641,0.02458475142153932,0.02611015694962543,0.34931832098729715,0.4650034817611565
2048,0.3507077891060767,0.01914612104683418,0.02410164419247019,0.3087202367754286,0.34486845736066196
2048,0.27365824541837264,0.01514293402009304,0.02486789768856775,0.2749018627701474,0.3327518703316529
2048,0.3191661528926779,0.01679034978856816,0.0238594468583265,0.23458266866142896,0.2746808704763473
2048,0.38345657862105786,0.02136159212784757,0.02635675822247873,0.31015874163871293,0.3712136267631255
1024,0.43800258976261336,0.03360683134188161,0.03379265259511921,0.33911397514500113,0.3479202910063745
1024,0.2591843788072826,0.03726307480003069,0.04317404978991343,0.19837507369671217,0.31937369022609924
1024,0.3185558519199271,0.03424396408295754,0.03264026749244683,0.1973889022478076,0.29059539629322617
1024,0.23125793741628975,0.044019008705214,0.03975401187612723,0.22231859822231448,0.28947972091942337
1024,0.255714638564107,0.03399151955776355,0.04458287823344327,0.22528052013606073,0.29866532738846524
1024,0.34059625113827585,0.04118549907908872,0.04254714490164202,0.33297959411187517,0.41760995610736057
1024,0.3877032827755044,0.03387479845975073,0.03842078199889957,0.3427126573470818,0.4524469178002874
