n,mse,mse.m,mse.a,theta.mse
128,0.29182321432569025,0.30179159216288154,0.30142395547912976,0.03885940705176053
128,0.39092400224424206,0.3328295697528136,0.32865285037663283,0.02002303963314188
128,0.31132341202737235,0.2887089499137844,0.29658399263597734,0.02668227977837133
128,0.2565044817324715,0.27521674424791304,0.27344136598170654,0.0257348141555713
128,0.23752159643443724,0.26038518595564647,0.2578557092537519,0.01046850762651863
128,0.3668510115093206,0.3572218476749242,0.3615866906994946,0.02341212367854471
128,0.3508445477468666,0.36808407731686565,0.37302338736214846,0.01684455037959331
128,0.2588846579141294,0.39059507347691896,0.3807215713692382,0.01599680485670718
128,0.2533854063536693,0.29941497159013664,0.3086555411078839,0.02652889556172513
128,0.3130271803381788,0.293086584246427,0.3026060618483228,0.03110864799882373
128,0.1918323069206113,0.15982054439483498,0.1620767066423152,0.04160445103021377
128,0.29053845914273957,0.26562625702153647,0.26558599681383893,0.02665259364527273
128,0.26121641803676715,0.24357070053201907,0.24402120315291423,0.02670851971105301
128,0.2124198426296562,0.20157199650798452,0.19671680759095633,0.02532654643116266
128,0.31467317000961254,0.35669628103811274,0.35659450118734354,0.02477871453714487
128,0.23389611023701296,0.2481777149666672,0.2473598249263672,0.02706316038007672
128,0.30848515234484486,0.31407723598091086,0.3120073019555348,0.02148251875903593
128,0.32412151391012356,0.2765926838780867,0.28224378387370497,0.02381879738157573
128,0.3375429342583842,0.36682289619437486,0.369898421965074,0.02777205626467121
128,0.34651022776665014,0.3599054328667603,0.3617754729849091,0.04099529765084365
128,0.3590606073059947,0.39874161049726,0.39784901449971327,0.02982887618954607
128,0.3292950898383126,0.3409854231363972,0.3334800454277095,0.03884313632630751
128,0.2551650347382314,0.254392741746756,0.2449518305840402,0.02449151457375245
128,0.3077178636073041,0.33313378545072414,0.34293358255227896,0.0263985349686102
128,0.3489710773300273,0.34320111827304983,0.34215443097396,0.03964362222583666
128,0.2697553251823175,0.16464642311260458,0.1630700945296822,0.03188553158196394
128,0.3005914763297139,0.3182235862556633,0.31869302520573484,0.00776469339806793
128,0.2825277615684239,0.2814585776401105,0.27947954244373435,0.01963780471258656
128,0.2793536300217378,0.25505930252778286,0.255718598524579,0.01425911576540545
128,0.22931609566495412,0.20627917402185225,0.20644657834958985,0.01028618724095241
128,0.3885217596885649,0.38163181343845126,0.38512446549129015,0.01555468717577117
128,0.3449128948554129,0.31455900167200745,0.31975777408325146,0.03108066674971538
128,0.31454277931823765,0.27880133465229967,0.27118593798667245,0.01165663902684638
128,0.171127006475779,0.1808388425179022,0.17628736055045544,0.02325691068458689
128,0.3224539908043016,0.4131553139244813,0.4062532874419391,0.03574332802130322
128,0.38193904480438734,0.39648518981044567,0.3949820651397678,0.02440145331177768
128,0.41853627257198034,0.36072170629018085,0.37345310127371906,0.01561478046150777
128,0.37335934511236374,0.4016305883203508,0.3906913727766077,0.02332638719723159
128,0.2354806073726401,0.2598463010528673,0.26168333254888565,0.01993914558636133
128,0.30933294323445404,0.28313333359383763,0.2824136273240859,0.02558767465634157
128,0.24030366186115656,0.2354767151484146,0.23068949328166463,0.0117131398812873
64,0.27763772386459135,0.2874395184909667,0.2758521650379998,0.07144673891961754
64,0.26408391017737565,0.2713901818476832,0.26004634728316534,0.03774207302677386
64,0.3119543039138234,0.32620853971370395,0.31980329888183057,0.05271205419329614
64,0.2722980841838886,0.2504072115976059,0.2570072356873013,0.05260370444752766
64,0.24566327768245227,0.27442405342543197,0.2921154527969244,0.04188224400871676
64,0.24278142279792575,0.2318214999952432,0.23002405629587716,0.02870687553976361
64,0.2728951109695539,0.25865630667511125,0.25255311092934635,0.04177035866741506
64,0.41673324429215985,0.36009216816887685,0.3638532800297133,0.04934653464325343
64,0.30829723922025026,0.3209056778894245,0.3041449731776261,0.01663889383835048
64,0.32045334846165363,0.2904892539577537,0.2763160553212908,0.04053453253193884
64,0.43150811850105425,0.4038368660244244,0.38381357876873434,0.06212587511128387
64,0.215140644382722,0.20700133327076867,0.2011065676344472,0.03014208551098827
64,0.48017684797471527,0.39800744607678745,0.41588441434852824,0.04112044305663565
64,0.22909204293546925,0.23939691728068707,0.24574761533278283,0.0503339723619327
64,0.15520961306720407,0.148943238458316,0.15088992087844666,0.04717552169849343
64,0.20187561373159332,0.16658977482824788,0.16041708743275032,0.04132817469056085
64,0.3864494816169592,0.3579662728715331,0.35294931544120783,0.04365970704520521
64,0.2993408614842407,0.32541280550438334,0.3264674733073087,0.05491886533285477
