n,mse,theta.mse
256,4.662116864769228e-4,0.0016603195042892444
256,4.79891163699415e-4,0.00146360930201782
256,9.986402127947433e-4,0.0016129705044910922
256,7.957873125014474e-4,0.0015369230092545955
256,6.13441033433196e-4,0.0018346235047434368
256,5.096948317735538e-4,0.0014290569893176666
256,5.24025415869938e-4,0.001342521361040661
256,0.0010698757179797129,0.0018124162921584006
256,7.212782809471679e-4,0.0012779652863586402
256,8.162231386719135e-4,0.001945182461430327
256,9.344024748543004e-4,0.0016518323242164278
256,9.206732058803331e-4,0.0013633986614017542
256,8.573111479768129e-4,0.0016916593479344207
256,6.040864874318213e-4,0.002050224796563705
256,7.134171385506019e-4,0.0019191810300016466
256,7.076317125675865e-4,0.00208795640046819
256,0.001228283430293126,0.002334261295132336
256,9.009303071477112e-4,0.0015724881419258863
128,0.0036561699275808684,0.009615522242446533
128,0.004165176650265969,0.014295229659890772
128,0.004194321227219732,0.011976362396152653
128,0.0022009055377696183,0.009389006355556114
128,0.004294306994718182,0.011176482033859958
128,0.004193510158788024,0.011826151338202582
128,0.0036369634683476237,0.013585007415377355
128,0.0038738768639961087,0.00926655412036756
128,0.00232741724611158,0.007357703382776587
128,0.003281496634990117,0.010767944202897287
128,0.004615381438464676,0.011773361647925988
128,0.003915831776628868,0.010307265833290396
128,0.004618058984529902,0.011368469994910904
128,0.0027876115437810746,0.007896228017377422
128,0.0023954575770264706,0.010998245523838622
128,0.0044984953524761844,0.011594691416958116
128,0.0029488062911301053,0.009356794666947164
128,0.0028577991879247507,0.010547375529591549
128,0.0047414344730099785,0.015950324442080742
128,0.0017072731647488123,0.0069948712736381605
128,0.004286495188717297,0.01095930892180225
128,0.004435927225805545,0.011612748746399846
128,0.0030064683846336114,0.008976552629963866
128,0.0014682345788324697,0.00917716475529749
128,0.007426442605145205,0.010419377246717062
128,0.00489675341816111,0.012144339000260598
128,0.0022146898016873187,0.010865137569412282
128,0.004952351361537616,0.010588718142330712
128,0.0034702361633209286,0.009707165773590558
128,0.0032868556172561177,0.010731618793926092
128,0.0024995277521825533,0.00810090071152331
128,0.0028733659799189534,0.012868678088667165
